zona,area_quartos,enderecos_lista,aluguel
zona-norte,60 m² construídos2 quartos,"Av Maestro Villa Lobos, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.600
zona-norte,30 m² construídos1 quarto,"R Das Tâmaras, Vila Paulista, São Paulo Zona Norte, São Paulo",900
zona-norte,51 m² construídos2 quartos,"Rua José Timotheo Da Silva, Jardim Peri, São Paulo Zona Norte, São Paulo",950
zona-norte,126 m² construídos3 quartos,"Rua Plinio Colás, Lauzane Paulista, São Paulo Zona Norte, São Paulo",2.500
zona-norte,55 m² construídos1 quarto,"Rua Doutor Gabriel Covelli, Parque Peruche, São Paulo Zona Norte, São Paulo",900
zona-norte,58 m² construídos2 quartos,"Rua Dos Camarés  150, Carandiru, São Paulo Zona Norte, São Paulo",1.490
zona-norte,77 m² construídos3 quartos,"Avenida Direitos Humanos, Imirim, São Paulo Zona Norte, São Paulo",1.800
zona-norte,96 m² construídos2 quartos,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.211
zona-norte,52 m² construídos2 quartos,"Avenida Basiléia, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.200
zona-norte,33 m² construídos1 quarto,"Rua Nossa Senhora Operária, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.000
zona-norte,32 m² construídos1 quarto,"Avenida Imirim, Imirim, São Paulo Zona Norte, São Paulo",850
zona-norte,130 m² construídos4 quartos,"Avenida Miguel Conejo, Vila Albertina, São Paulo Zona Norte, São Paulo",3.300
zona-norte,50 m² construídos2 quartos,"Rua Custódio José Duarte, Vila Ede, São Paulo Zona Norte, São Paulo",950
zona-norte,58 m² construídos2 quartos,"Largo Da Matriz Velha, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",1.400
zona-norte,120 m² construídos3 quartos,"Rua Campo Comprido, Vila Romero, São Paulo Zona Norte, São Paulo",1.278
zona-norte,33 m² construídos1 quarto,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",991
zona-norte,64 m² construídos2 quartos,"Rua Ladeira Velha, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",1.220
zona-norte,30 m² construídos1 quarto,"Rua Professor Dário Ribeiro, Vila Prado, São Paulo Zona Norte, São Paulo",700
zona-norte,40 m² construídos1 quarto,"Travessa B, Vila Gustavo, São Paulo Zona Norte, São Paulo",990
zona-norte,80 m² construídos3 quartos,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",3.200
zona-norte,100 m² construídos3 quartos,"Rua Professor Paul Hugon, Vila Aurora, São Paulo Zona Norte, São Paulo",2.600
zona-norte,58 m² construídos2 quartos,"Rua Piratininga, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.900
zona-norte,150 m² construídos3 quartos,"Rua Tomé De Lara, Tucuruvi, São Paulo Zona Norte, São Paulo",3.950
zona-norte,75 m² construídos3 quartos,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.900
zona-norte,148 m² construídos3 quartos,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",4.500
zona-norte,212 m² construídos3 quartos,"Rua Itanhangá, Tucuruvi, São Paulo Zona Norte, São Paulo",3.500
zona-norte,78 m² construídos2 quartos,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.800
zona-norte,55 m² construídos2 quartos,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",1.300
zona-norte,60 m² construídos2 quartos,"Rua Mére Marie Anais De Sion, Vila Cachoeira, São Paulo Zona Norte, São Paulo",1.415
zona-norte,50 m² construídos1 quarto,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",2.500
zona-norte,75 m² construídos1 quarto,"Rua Antonieta Leitão, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.400
zona-norte,50 m² construídos1 quarto,"Rua Pelegrino, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",1.350
zona-norte,40 m² construídos1 quarto,"Rua Eurico Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",681
zona-norte,60 m² construídos1 quarto,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.040
zona-norte,70 m² construídos2 quartos,"Rua Carlos Adalberto Ilha Macedo, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.500
zona-norte,77 m² construídos3 quartos,"Avenida Álvaro Machado Pedrosa, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.000
zona-norte,49 m² construídos1 quarto,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",2.400
zona-norte,50 m² construídos1 quarto,"Rua Corneteiro Jesus, Jardim Felicidade (zona Norte), São Paulo Zona Norte, São Paulo",1.000
zona-norte,67 m² construídos2 quartos,"Avenida Álvaro Machado Pedrosa, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.500
zona-norte,116 m² construídos3 quartos,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",1.500
zona-norte,49 m² construídos1 quarto,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",2.550
zona-norte,70 m² construídos3 quartos,"Rua Sete Barras, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",2.340
zona-norte,450 m² construídos4 quartos,"Rua Dom Luís Felipe De Orleans, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",4.500
zona-norte,30 m² construídos1 quarto,"Avenida Casa Verde, Casa Verde, São Paulo Zona Norte, São Paulo",1.000
zona-norte,55 m² construídos2 quartos,"Av. Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",2.134
zona-norte,29 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3.300
zona-norte,350 m² construídos1 quarto,"Rua Maestro Antão Fernandes, Jardim São Bento, São Paulo Zona Norte, São Paulo",10.000
zona-norte,143 m² construídos3 quartos,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",2.300
zona-norte,40 m² construídos1 quarto,"Rua Amambaí, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",1.350
zona-norte,42 m² construídos1 quarto,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",1.000
zona-norte,60 m² construídos2 quartos,"Rua Piracema, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.980
zona-norte,70 m² construídos3 quartos,"Rua José Barreto Dos Santos, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.550
